replication,test,servidor,resultado
replication1,Wait Time Per Entity,Servidor 1,0.1030
replication1,Wait Time Per Entity,Servidor 2,0.1835
replication1,Wait Time Per Entity,Servidor 3,0.0991
replication1,Wait Time Per Entity,Servidor 4,0.1048
replication1,Waiting Time,Servidor 1.Queue,0.00951809
replication1,Waiting Time,Servidor 2.Queue,0.02665352
replication1,Waiting Time,Servidor 3.Queue,0
replication1,Waiting Time,Servidor 4.Queue,0.00881847
replication1,Number Waiting,Servidor 1.Queue,0.01015263
replication1,Number Waiting,Servidor 2.Queue,0.02612045
replication1,Number Waiting,Servidor 3.Queue,0
replication1,Number Waiting,Servidor 4.Queue,0.00717236
replication1,Instantaneous Utilization,Resource Server 1,0.0997
replication1,Instantaneous Utilization,Resource Server 2,0.1537
replication1,Instantaneous Utilization,Resource Server 3,0.01652238
replication1,Instantaneous Utilization,Resource Server 4,0.07779111
replication2,Wait Time Per Entity,Servidor 1,0.1079
replication2,Wait Time Per Entity,Servidor 2,0.1950
replication2,Wait Time Per Entity,Servidor 3,0.07800039
replication2,Wait Time Per Entity,Servidor 4,0.1221
replication2,Waiting Time,Servidor 1.Queue,0.00965266
replication2,Waiting Time,Servidor 2.Queue,0.03307314
replication2,Waiting Time,Servidor 3.Queue,0
replication2,Waiting Time,Servidor 4.Queue,0.00996104
replication2,Number Waiting,Servidor 1.Queue,0.01036052
replication2,Number Waiting,Servidor 2.Queue,0.03252192
replication2,Number Waiting,Servidor 3.Queue,0
replication2,Number Waiting,Servidor 4.Queue,0.00760359
replication2,Instantaneous Utilization,Resource Server 1,0.1055
replication2,Instantaneous Utilization,Resource Server 2,0.1592
replication2,Instantaneous Utilization,Resource Server 3,0.01716009
replication2,Instantaneous Utilization,Resource Server 4,0.08528455
replication3,Wait Time Per Entity,Servidor 1,0.1014
replication3,Wait Time Per Entity,Servidor 2,0.2017
replication3,Wait Time Per Entity,Servidor 3,0.1097
replication3,Wait Time Per Entity,Servidor 4,0.1074
replication3,Waiting Time,Servidor 1.Queue,0.00794703
replication3,Waiting Time,Servidor 2.Queue,0.03183087
replication3,Waiting Time,Servidor 3.Queue,0
replication3,Waiting Time,Servidor 4.Queue,0.01104108
replication3,Number Waiting,Servidor 1.Queue,0.00845035
replication3,Number Waiting,Servidor 2.Queue,0.03045153
replication3,Number Waiting,Servidor 3.Queue,0
replication3,Number Waiting,Servidor 4.Queue,0.00853844
replication3,Instantaneous Utilization,Resource Server 1,0.0994
replication3,Instantaneous Utilization,Resource Server 2,0.1625
replication3,Instantaneous Utilization,Resource Server 3,0.02010398
