cenario,replication,test,servidor,resultado
cenario1,replication1,Wait Time Per Entity,Servidor 1,0.1030
cenario1,replication1,Wait Time Per Entity,Servidor 2,0.1835
cenario1,replication1,Wait Time Per Entity,Servidor 3,0.0991
cenario1,replication1,Wait Time Per Entity,Servidor 4,0.1048
cenario1,replication1,Waiting Time,Servidor 1.Queue,0.00951809
cenario1,replication1,Waiting Time,Servidor 2.Queue,0.02665352
cenario1,replication1,Waiting Time,Servidor 3.Queue,0
cenario1,replication1,Waiting Time,Servidor 4.Queue,0.00881847
cenario1,replication1,Number Waiting,Servidor 1.Queue,0.01015263
cenario1,replication1,Number Waiting,Servidor 2.Queue,0.02612045
cenario1,replication1,Number Waiting,Servidor 3.Queue,0
cenario1,replication1,Number Waiting,Servidor 4.Queue,0.00717236
cenario1,replication1,Instantaneous Utilization,Resource Server 1,0.0997
cenario1,replication1,Instantaneous Utilization,Resource Server 2,0.1537
cenario1,replication1,Instantaneous Utilization,Resource Server 3,0.01652238
cenario1,replication1,Instantaneous Utilization,Resource Server 4,0.07779111
cenario1,replication2,Wait Time Per Entity,Servidor 1,0.1079
cenario1,replication2,Wait Time Per Entity,Servidor 2,0.1950
cenario1,replication2,Wait Time Per Entity,Servidor 3,0.07800039
cenario1,replication2,Wait Time Per Entity,Servidor 4,0.1221
cenario1,replication2,Waiting Time,Servidor 1.Queue,0.00965266
cenario1,replication2,Waiting Time,Servidor 2.Queue,0.03307314
cenario1,replication2,Waiting Time,Servidor 3.Queue,0
cenario1,replication2,Waiting Time,Servidor 4.Queue,0.00996104
cenario1,replication2,Number Waiting,Servidor 1.Queue,0.01036052
cenario1,replication2,Number Waiting,Servidor 2.Queue,0.03252192
cenario1,replication2,Number Waiting,Servidor 3.Queue,0
cenario1,replication2,Number Waiting,Servidor 4.Queue,0.00760359
cenario1,replication2,Instantaneous Utilization,Resource Server 1,0.1055
cenario1,replication2,Instantaneous Utilization,Resource Server 2,0.1592
cenario1,replication2,Instantaneous Utilization,Resource Server 3,0.01716009
cenario1,replication2,Instantaneous Utilization,Resource Server 4,0.08528455
cenario1,replication3,Wait Time Per Entity,Servidor 1,0.1014
cenario1,replication3,Wait Time Per Entity,Servidor 2,0.2017
cenario1,replication3,Wait Time Per Entity,Servidor 3,0.1097
cenario1,replication3,Wait Time Per Entity,Servidor 4,0.1074
cenario1,replication3,Waiting Time,Servidor 1.Queue,0.00794703
cenario1,replication3,Waiting Time,Servidor 2.Queue,0.03183087
cenario1,replication3,Waiting Time,Servidor 3.Queue,0
cenario1,replication3,Waiting Time,Servidor 4.Queue,0.01104108
cenario1,replication3,Number Waiting,Servidor 1.Queue,0.00845035
cenario1,replication3,Number Waiting,Servidor 2.Queue,0.03045153
cenario1,replication3,Number Waiting,Servidor 3.Queue,0
cenario1,replication3,Number Waiting,Servidor 4.Queue,0.00853844
cenario1,replication3,Instantaneous Utilization,Resource Server 1,0.0994
cenario1,replication3,Instantaneous Utilization,Resource Server 2,0.1625
cenario1,replication3,Instantaneous Utilization,Resource Server 3,0.02010398
cenario1,replication3,Instantaneous Utilization,Resource Server 4,0.07452347
cenario1,replication4,Wait Time Per Entity,Servidor 1,0.1206
cenario1,replication4,Wait Time Per Entity,Servidor 2,0.1767
cenario1,replication4,Wait Time Per Entity,Servidor 3,0.0990
cenario1,replication4,Wait Time Per Entity,Servidor 4,0.1073
cenario1,replication4,Waiting Time,Servidor 1.Queue,0.01937979
cenario1,replication4,Waiting Time,Servidor 2.Queue,0.03062681
cenario1,replication4,Waiting Time,Servidor 3.Queue,0.00630304
cenario1,replication4,Waiting Time,Servidor 4.Queue,0.00822697
