cpu_inicio,cpu_final,memoria_inicio,memoria_final,tempo_chegada_server,tempo_saida_server,tempo_inicio_request,tempo_fim_request,tipo_request,id,tempo_bd,tempo_rede
1.226185201,1.226185127,4248961024,4248559616,1471542299847,1471542299850,1471542175368,1471542175432,cadastro,cadastro 0,3,61
1.22619752,1.226203439,4248199168,4248199168,1471542299941,1471542299943,1471542175466,1471542175517,cadastro,cadastro 1,2,49
1.226203292,1.226203219,4248453120,4248453120,1471542299945,1471542299947,1471542175429,1471542175521,cadastro,cadastro 2,2,90
1.226210501,1.226210428,4248707072,4248162304,1471542300029,1471542300032,1471542175518,1471542175567,cadastro,cadastro 3,3,46
1.226207562,1.226207562,4248416256,4248416256,1471542300083,1471542300085,1471542175569,1471542175622,cadastro,cadastro 4,2,51
1.22621113,1.226216902,4248670208,4248670208,1471542300130,1471542300132,1471542175617,1471542175666,cadastro,cadastro 5,2,47
1.226220175,1.226225433,4248924160,4243992576,1471542300178,1471542300191,1471542175668,1471542175726,cadastro,cadastro 6,13,45
1.226229147,1.226234919,4243992576,4243992576,1471542300234,1471542300236,1471542175717,1471542175771,cadastro,cadastro 7,2,52
1.226232568,1.226232495,4243992576,4243992576,1471542300277,1471542300279,1471542175767,1471542175814,cadastro,cadastro 8,2,45
1.226253452,1.226253452,4248629248,4248629248,1471542300329,1471542300331,1471542175817,1471542175866,cadastro,cadastro 9,2,47
1.226262571,1.226268416,4247961600,4247961600,1471542300381,1471542300383,1471542175867,1471542175919,cadastro,cadastro 10,2,50
1.226265771,1.226271616,4248342528,4248342528,1471542300429,1471542300431,1471542175916,1471542175966,cadastro,cadastro 11,2,48
1.226280662,1.226280662,4248342528,4248723456,1471542300477,1471542300479,1471542175967,1471542176014,cadastro,cadastro 12,2,45
1.226278016,1.226277943,4248522752,4248522752,1471542300530,1471542300532,1471542176017,1471542176067,cadastro,cadastro 13,2,48
1.22627515,1.226280922,4248903680,4248903680,1471542300581,1471542300583,1471542176067,1471542176118,cadastro,cadastro 14,2,49
